Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HDAC5","Histone Deacetylase 5","Protein Coding","67","GC17M044076","0.54","/cgi-bin/carddisp.pl?gene=HDAC5"
"GABARAP","GABA Type A Receptor-Associated Protein","Protein Coding","67","GC17M007240","0.54","/cgi-bin/carddisp.pl?gene=GABARAP"
"PXN","Paxillin","Protein Coding","67","GC12M120210","0.54","/cgi-bin/carddisp.pl?gene=PXN"
"HADH","Hydroxyacyl-CoA Dehydrogenase","Protein Coding","67","GC04P107989","0.54","/cgi-bin/carddisp.pl?gene=HADH"
"CES1","Carboxylesterase 1","Protein Coding","67","GC16M055836","0.54","/cgi-bin/carddisp.pl?gene=CES1"
"GFPT1","Glutamine--Fructose-6-Phosphate Transaminase 1","Protein Coding","67","GC02M069283","0.54","/cgi-bin/carddisp.pl?gene=GFPT1"
"EIF4G1","Eukaryotic Translation Initiation Factor 4 Gamma 1","Protein Coding","67","GC03P184314","0.54","/cgi-bin/carddisp.pl?gene=EIF4G1"
"SAE1","SUMO1 Activating Enzyme Subunit 1","Protein Coding","67","GC19P047114","0.54","/cgi-bin/carddisp.pl?gene=SAE1"
"ACY1","Aminoacylase 1","Protein Coding","67","GC03P051983","0.54","/cgi-bin/carddisp.pl?gene=ACY1"
"BTRC","Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase","Protein Coding","67","GC10P101354","0.54","/cgi-bin/carddisp.pl?gene=BTRC"
"GNAO1","G Protein Subunit Alpha O1","Protein Coding","67","GC16P056231","0.54","/cgi-bin/carddisp.pl?gene=GNAO1"
"MARS","Methionyl-TRNA Synthetase","Protein Coding","67","GC12P057475","0.54","/cgi-bin/carddisp.pl?gene=MARS"
"CAPN3","Calpain 3","Protein Coding","67","GC15P042359","0.54","/cgi-bin/carddisp.pl?gene=CAPN3"
"BUB3","BUB3, Mitotic Checkpoint Protein","Protein Coding","67","GC10P123154","0.54","/cgi-bin/carddisp.pl?gene=BUB3"
"PTGDR","Prostaglandin D2 Receptor","Protein Coding","67","GC14P052267","0.54","/cgi-bin/carddisp.pl?gene=PTGDR"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","67","GC13M020187","0.54","/cgi-bin/carddisp.pl?gene=GJB2"
"MCM3","Minichromosome Maintenance Complex Component 3","Protein Coding","67","GC06M052236","0.54","/cgi-bin/carddisp.pl?gene=MCM3"
"RYR2","Ryanodine Receptor 2","Protein Coding","67","GC01P237042","0.54","/cgi-bin/carddisp.pl?gene=RYR2"
"CAD","Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","Protein Coding","67","GC02P027217","0.54","/cgi-bin/carddisp.pl?gene=CAD"
"CD28","CD28 Molecule","Protein Coding","67","GC02P203706","0.54","/cgi-bin/carddisp.pl?gene=CD28"
"CD274","CD274 Molecule","Protein Coding","67","GC09P005450","0.54","/cgi-bin/carddisp.pl?gene=CD274"
"CD9","CD9 Molecule","Protein Coding","67","GC12P006179","0.54","/cgi-bin/carddisp.pl?gene=CD9"
"CD14","CD14 Molecule","Protein Coding","67","GC05M140594","0.54","/cgi-bin/carddisp.pl?gene=CD14"
"GNAI3","G Protein Subunit Alpha I3","Protein Coding","67","GC01P109548","0.54","/cgi-bin/carddisp.pl?gene=GNAI3"
"GPX1","Glutathione Peroxidase 1","Protein Coding","67","GC03M049365","0.54","/cgi-bin/carddisp.pl?gene=GPX1"
"MAP4K4","Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4","Protein Coding","67","GC02P101773","0.54","/cgi-bin/carddisp.pl?gene=MAP4K4"
"ACTA1","Actin, Alpha 1, Skeletal Muscle","Protein Coding","67","GC01M229431","0.54","/cgi-bin/carddisp.pl?gene=ACTA1"
"PGM1","Phosphoglucomutase 1","Protein Coding","67","GC01P063593","0.54","/cgi-bin/carddisp.pl?gene=PGM1"
"WNT4","Wnt Family Member 4","Protein Coding","67","GC01M022190","0.54","/cgi-bin/carddisp.pl?gene=WNT4"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","67","GC14P020468","0.54","/cgi-bin/carddisp.pl?gene=PNP"
"ACACA","Acetyl-CoA Carboxylase Alpha","Protein Coding","67","GC17M037084","0.54","/cgi-bin/carddisp.pl?gene=ACACA"
"FKBP4","FK506 Binding Protein 4","Protein Coding","67","GC12P002795","0.54","/cgi-bin/carddisp.pl?gene=FKBP4"
"PC","Pyruvate Carboxylase","Protein Coding","67","GC11M066865","0.54","/cgi-bin/carddisp.pl?gene=PC"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","67","GC12M132624","0.54","/cgi-bin/carddisp.pl?gene=POLE"
"GARS","Glycyl-TRNA Synthetase","Protein Coding","67","GC07P030594","0.54","/cgi-bin/carddisp.pl?gene=GARS"
"PIKFYVE","Phosphoinositide Kinase, FYVE-Type Zinc Finger Containing","Protein Coding","67","GC02P208266","0.54","/cgi-bin/carddisp.pl?gene=PIKFYVE"
"ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","67","GC19M045349","0.54","/cgi-bin/carddisp.pl?gene=ERCC2"
"ARHGDIA","Rho GDP Dissociation Inhibitor Alpha","Protein Coding","67","GC17M081867","0.54","/cgi-bin/carddisp.pl?gene=ARHGDIA"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","67","GC01P007957","0.54","/cgi-bin/carddisp.pl?gene=PARK7"
"TPM3","Tropomyosin 3","Protein Coding","67","GC01M154127","0.54","/cgi-bin/carddisp.pl?gene=TPM3"
"TNFRSF10A","TNF Receptor Superfamily Member 10a","Protein Coding","67","GC08M023190","0.54","/cgi-bin/carddisp.pl?gene=TNFRSF10A"
"CSNK1E","Casein Kinase 1 Epsilon","Protein Coding","67","GC22M040661","0.54","/cgi-bin/carddisp.pl?gene=CSNK1E"
"SFN","Stratifin","Protein Coding","67","GC01P026873","0.54","/cgi-bin/carddisp.pl?gene=SFN"
"KIF11","Kinesin Family Member 11","Protein Coding","67","GC10P092593","0.54","/cgi-bin/carddisp.pl?gene=KIF11"
"PSMA6","Proteasome Subunit Alpha 6","Protein Coding","67","GC14P035278","0.54","/cgi-bin/carddisp.pl?gene=PSMA6"
"DKC1","Dyskerin Pseudouridine Synthase 1","Protein Coding","67","GC0XP154762","0.54","/cgi-bin/carddisp.pl?gene=DKC1"
"DRD4","Dopamine Receptor D4","Protein Coding","67","GC11P000650","0.54","/cgi-bin/carddisp.pl?gene=DRD4"
"KPNB1","Karyopherin Subunit Beta 1","Protein Coding","66","GC17P047649","0.54","/cgi-bin/carddisp.pl?gene=KPNB1"
"LAMB1","Laminin Subunit Beta 1","Protein Coding","66","GC07M107923","0.54","/cgi-bin/carddisp.pl?gene=LAMB1"
"ABCD1","ATP Binding Cassette Subfamily D Member 1","Protein Coding","66","GC0XP153724","0.54","/cgi-bin/carddisp.pl?gene=ABCD1"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","66","GC01M011845","0.54","/cgi-bin/carddisp.pl?gene=MTHFR"
"HUWE1","HECT, UBA And WWE Domain Containing 1, E3 Ubiquitin Protein Ligase","Protein Coding","66","GC0XM053532","0.54","/cgi-bin/carddisp.pl?gene=HUWE1"
"LARS","Leucyl-TRNA Synthetase","Protein Coding","66","GC05M146113","0.54","/cgi-bin/carddisp.pl?gene=LARS"
"PLA2G1B","Phospholipase A2 Group IB","Protein Coding","66","GC12M120322","0.54","/cgi-bin/carddisp.pl?gene=PLA2G1B"
"GOT2","Glutamic-Oxaloacetic Transaminase 2","Protein Coding","66","GC16M058707","0.54","/cgi-bin/carddisp.pl?gene=GOT2"
"CD81","CD81 Molecule","Protein Coding","66","GC11P002397","0.54","/cgi-bin/carddisp.pl?gene=CD81"
"LMAN1","Lectin, Mannose Binding 1","Protein Coding","66","GC18M059327","0.54","/cgi-bin/carddisp.pl?gene=LMAN1"
"MARK3","Microtubule Affinity Regulating Kinase 3","Protein Coding","66","GC14P103385","0.54","/cgi-bin/carddisp.pl?gene=MARK3"
"RTN4","Reticulon 4","Protein Coding","66","GC02M054934","0.54","/cgi-bin/carddisp.pl?gene=RTN4"
"PSMD4","Proteasome 26S Subunit, Non-ATPase 4","Protein Coding","66","GC01P151227","0.54","/cgi-bin/carddisp.pl?gene=PSMD4"
"BIRC3","Baculoviral IAP Repeat Containing 3","Protein Coding","66","GC11P102317","0.54","/cgi-bin/carddisp.pl?gene=BIRC3"
"RPA2","Replication Protein A2","Protein Coding","66","GC01M027902","0.54","/cgi-bin/carddisp.pl?gene=RPA2"
"MAPRE1","Microtubule Associated Protein RP/EB Family Member 1","Protein Coding","66","GC20P032819","0.54","/cgi-bin/carddisp.pl?gene=MAPRE1"
"ATP1B1","ATPase Na+/K+ Transporting Subunit Beta 1","Protein Coding","66","GC01P169105","0.54","/cgi-bin/carddisp.pl?gene=ATP1B1"
"LPIN1","Lipin 1","Protein Coding","66","GC02P011649","0.54","/cgi-bin/carddisp.pl?gene=LPIN1"
"EHMT2","Euchromatic Histone Lysine Methyltransferase 2","Protein Coding","66","GC06M031879","0.54","/cgi-bin/carddisp.pl?gene=EHMT2"
"APPL1","Adaptor Protein, Phosphotyrosine Interacting With PH Domain And Leucine Zipper 1","Protein Coding","66","GC03P057227","0.54","/cgi-bin/carddisp.pl?gene=APPL1"
"NRG1","Neuregulin 1","Protein Coding","66","GC08P031617","0.54","/cgi-bin/carddisp.pl?gene=NRG1"
"GRK6","G Protein-Coupled Receptor Kinase 6","Protein Coding","66","GC05P177403","0.54","/cgi-bin/carddisp.pl?gene=GRK6"
"NPPB","Natriuretic Peptide B","Protein Coding","66","GC01M011918","0.54","/cgi-bin/carddisp.pl?gene=NPPB"
"MATK","Megakaryocyte-Associated Tyrosine Kinase","Protein Coding","66","GC19M003777","0.54","/cgi-bin/carddisp.pl?gene=MATK"
"CACNA1I","Calcium Voltage-Gated Channel Subunit Alpha1 I","Protein Coding","66","GC22P039570","0.54","/cgi-bin/carddisp.pl?gene=CACNA1I"
"IL6ST","Interleukin 6 Signal Transducer","Protein Coding","66","GC05M055935","0.54","/cgi-bin/carddisp.pl?gene=IL6ST"
"POU2F1","POU Class 2 Homeobox 1","Protein Coding","66","GC01P167190","0.54","/cgi-bin/carddisp.pl?gene=POU2F1"
"NSF","N-Ethylmaleimide Sensitive Factor, Vesicle Fusing ATPase","Protein Coding","66","GC17P046590","0.54","/cgi-bin/carddisp.pl?gene=NSF"
"BCL2L2","BCL2 Like 2","Protein Coding","66","GC14P023889","0.54","/cgi-bin/carddisp.pl?gene=BCL2L2"
"NT5C2","5'-Nucleotidase, Cytosolic II","Protein Coding","66","GC10M103088","0.54","/cgi-bin/carddisp.pl?gene=NT5C2"
"SRPK2","SRSF Protein Kinase 2","Protein Coding","66","GC07M105110","0.54","/cgi-bin/carddisp.pl?gene=SRPK2"
"ITGA7","Integrin Subunit Alpha 7","Protein Coding","66","GC12M055684","0.54","/cgi-bin/carddisp.pl?gene=ITGA7"
"ACTN2","Actinin Alpha 2","Protein Coding","66","GC01P236686","0.54","/cgi-bin/carddisp.pl?gene=ACTN2"
"PPP2R1A","Protein Phosphatase 2 Scaffold Subunit Aalpha","Protein Coding","66","GC19P052189","0.54","/cgi-bin/carddisp.pl?gene=PPP2R1A"
"PTPN12","Protein Tyrosine Phosphatase, Non-Receptor Type 12","Protein Coding","66","GC07P077537","0.54","/cgi-bin/carddisp.pl?gene=PTPN12"
"ADSL","Adenylosuccinate Lyase","Protein Coding","66","GC22P040346","0.54","/cgi-bin/carddisp.pl?gene=ADSL"
"CLTC","Clathrin Heavy Chain","Protein Coding","66","GC17P059619","0.54","/cgi-bin/carddisp.pl?gene=CLTC"
"SRPK1","SRSF Protein Kinase 1","Protein Coding","66","GC06M037026","0.54","/cgi-bin/carddisp.pl?gene=SRPK1"
"SMC3","Structural Maintenance Of Chromosomes 3","Protein Coding","66","GC10P110567","0.54","/cgi-bin/carddisp.pl?gene=SMC3"
"PTK7","Protein Tyrosine Kinase 7 (Inactive)","Protein Coding","66","GC06P043044","0.54","/cgi-bin/carddisp.pl?gene=PTK7"
"CD34","CD34 Molecule","Protein Coding","66","GC01M207880","0.54","/cgi-bin/carddisp.pl?gene=CD34"
"CCKBR","Cholecystokinin B Receptor","Protein Coding","66","GC11P006280","0.54","/cgi-bin/carddisp.pl?gene=CCKBR"
"GLO1","Glyoxalase I","Protein Coding","66","GC06M038643","0.54","/cgi-bin/carddisp.pl?gene=GLO1"
"NR1I3","Nuclear Receptor Subfamily 1 Group I Member 3","Protein Coding","66","GC01M161199","0.54","/cgi-bin/carddisp.pl?gene=NR1I3"
"CES2","Carboxylesterase 2","Protein Coding","66","GC16P066934","0.54","/cgi-bin/carddisp.pl?gene=CES2"
"CDON","Cell Adhesion Associated, Oncogene Regulated","Protein Coding","66","GC11M125955","0.54","/cgi-bin/carddisp.pl?gene=CDON"
"SMC1A","Structural Maintenance Of Chromosomes 1A","Protein Coding","66","GC0XM053401","0.54","/cgi-bin/carddisp.pl?gene=SMC1A"
"CEBPA","CCAAT/Enhancer Binding Protein Alpha","Protein Coding","66","GC19M033299","0.54","/cgi-bin/carddisp.pl?gene=CEBPA"
"RUVBL1","RuvB Like AAA ATPase 1","Protein Coding","66","GC03M128064","0.54","/cgi-bin/carddisp.pl?gene=RUVBL1"
"ECHS1","Enoyl-CoA Hydratase, Short Chain 1","Protein Coding","66","GC10M133362","0.54","/cgi-bin/carddisp.pl?gene=ECHS1"
"PRKD2","Protein Kinase D2","Protein Coding","66","GC19M046674","0.54","/cgi-bin/carddisp.pl?gene=PRKD2"
"ABL2","ABL Proto-Oncogene 2, Non-Receptor Tyrosine Kinase","Protein Coding","66","GC01M179102","0.54","/cgi-bin/carddisp.pl?gene=ABL2"
"GSTO1","Glutathione S-Transferase Omega 1","Protein Coding","66","GC10P104235","0.54","/cgi-bin/carddisp.pl?gene=GSTO1"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","66","GC18P062325","0.54","/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"FABP3","Fatty Acid Binding Protein 3","Protein Coding","66","GC01M031365","0.54","/cgi-bin/carddisp.pl?gene=FABP3"
"WWOX","WW Domain Containing Oxidoreductase","Protein Coding","66","GC16P078099","0.54","/cgi-bin/carddisp.pl?gene=WWOX"
"ATF3","Activating Transcription Factor 3","Protein Coding","66","GC01P212565","0.54","/cgi-bin/carddisp.pl?gene=ATF3"
"PDE4B","Phosphodiesterase 4B","Protein Coding","66","GC01P065792","0.54","/cgi-bin/carddisp.pl?gene=PDE4B"
"LIG3","DNA Ligase 3","Protein Coding","66","GC17P034980","0.54","/cgi-bin/carddisp.pl?gene=LIG3"
"WARS","Tryptophanyl-TRNA Synthetase","Protein Coding","66","GC14M100333","0.54","/cgi-bin/carddisp.pl?gene=WARS"
"NNMT","Nicotinamide N-Methyltransferase","Protein Coding","66","GC11P114257","0.54","/cgi-bin/carddisp.pl?gene=NNMT"
"PEBP1","Phosphatidylethanolamine Binding Protein 1","Protein Coding","66","GC12P118135","0.54","/cgi-bin/carddisp.pl?gene=PEBP1"
"WNT2","Wnt Family Member 2","Protein Coding","66","GC07M117276","0.54","/cgi-bin/carddisp.pl?gene=WNT2"
"HGS","Hepatocyte Growth Factor-Regulated Tyrosine Kinase Substrate","Protein Coding","66","GC17P081683","0.54","/cgi-bin/carddisp.pl?gene=HGS"
"GMPS","Guanine Monophosphate Synthase","Protein Coding","66","GC03P155870","0.54","/cgi-bin/carddisp.pl?gene=GMPS"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","66","GC07M000497","0.54","/cgi-bin/carddisp.pl?gene=PDGFA"
"VIPR2","Vasoactive Intestinal Peptide Receptor 2","Protein Coding","66","GC07M159028","0.54","/cgi-bin/carddisp.pl?gene=VIPR2"
"PDIA3","Protein Disulfide Isomerase Family A Member 3","Protein Coding","66","GC15P043746","0.54","/cgi-bin/carddisp.pl?gene=PDIA3"
"F2RL3","F2R Like Thrombin/Trypsin Receptor 3","Protein Coding","66","GC19P016888","0.54","/cgi-bin/carddisp.pl?gene=F2RL3"
"TUBB2B","Tubulin Beta 2B Class IIb","Protein Coding","66","GC06M003224","0.54","/cgi-bin/carddisp.pl?gene=TUBB2B"
"DVL3","Dishevelled Segment Polarity Protein 3","Protein Coding","66","GC03P184155","0.54","/cgi-bin/carddisp.pl?gene=DVL3"
"NDUFS1","NADH:Ubiquinone Oxidoreductase Core Subunit S1","Protein Coding","66","GC02M206114","0.54","/cgi-bin/carddisp.pl?gene=NDUFS1"
"ACO2","Aconitase 2","Protein Coding","66","GC22P041469","0.54","/cgi-bin/carddisp.pl?gene=ACO2"
"NME2","NME/NM23 Nucleoside Diphosphate Kinase 2","Protein Coding","66","GC17P051155","0.54","/cgi-bin/carddisp.pl?gene=NME2"
"HEXA","Hexosaminidase Subunit Alpha","Protein Coding","66","GC15M072340","0.54","/cgi-bin/carddisp.pl?gene=HEXA"
"ARG2","Arginase 2","Protein Coding","66","GC14P067619","0.54","/cgi-bin/carddisp.pl?gene=ARG2"
"LBR","Lamin B Receptor","Protein Coding","66","GC01M225401","0.54","/cgi-bin/carddisp.pl?gene=LBR"
"ACO1","Aconitase 1","Protein Coding","66","GC09P032374","0.54","/cgi-bin/carddisp.pl?gene=ACO1"
"HIPK2","Homeodomain Interacting Protein Kinase 2","Protein Coding","66","GC07M139561","0.54","/cgi-bin/carddisp.pl?gene=HIPK2"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","66","GC19P050385","0.54","/cgi-bin/carddisp.pl?gene=POLD1"
"FDPS","Farnesyl Diphosphate Synthase","Protein Coding","66","GC01P155278","0.54","/cgi-bin/carddisp.pl?gene=FDPS"
"NAT1","N-Acetyltransferase 1","Protein Coding","66","GC08P018176","0.54","/cgi-bin/carddisp.pl?gene=NAT1"
"NDUFS3","NADH:Ubiquinone Oxidoreductase Core Subunit S3","Protein Coding","66","GC11P047587","0.54","/cgi-bin/carddisp.pl?gene=NDUFS3"
"PAX5","Paired Box 5","Protein Coding","66","GC09M036828","0.54","/cgi-bin/carddisp.pl?gene=PAX5"
"PDP1","Pyruvate Dehyrogenase Phosphatase Catalytic Subunit 1","Protein Coding","66","GC08P093857","0.54","/cgi-bin/carddisp.pl?gene=PDP1"
"SPRY2","Sprouty RTK Signaling Antagonist 2","Protein Coding","66","GC13M080335","0.54","/cgi-bin/carddisp.pl?gene=SPRY2"
"PIK3R4","Phosphoinositide-3-Kinase Regulatory Subunit 4","Protein Coding","66","GC03M130678","0.54","/cgi-bin/carddisp.pl?gene=PIK3R4"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","66","GC07M076327","0.54","/cgi-bin/carddisp.pl?gene=YWHAG"
"NEDD4","Neural Precursor Cell Expressed, Developmentally Down-Regulated 4, E3 Ubiquitin Protein Ligase","Protein Coding","66","GC15M055826","0.54","/cgi-bin/carddisp.pl?gene=NEDD4"
"TALDO1","Transaldolase 1","Protein Coding","66","GC11P000749","0.54","/cgi-bin/carddisp.pl?gene=TALDO1"
"XRCC5","X-Ray Repair Cross Complementing 5","Protein Coding","66","GC02P216107","0.54","/cgi-bin/carddisp.pl?gene=XRCC5"
"LSS","Lanosterol Synthase (2,3-Oxidosqualene-Lanosterol Cyclase)","Protein Coding","66","GC21M046189","0.54","/cgi-bin/carddisp.pl?gene=LSS"
"ENG","Endoglin","Protein Coding","66","GC09M127815","0.54","/cgi-bin/carddisp.pl?gene=ENG"
"MTR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase","Protein Coding","66","GC01P236795","0.54","/cgi-bin/carddisp.pl?gene=MTR"
"PFKP","Phosphofructokinase, Platelet","Protein Coding","66","GC10P003066","0.54","/cgi-bin/carddisp.pl?gene=PFKP"
"WRN","Werner Syndrome RecQ Like Helicase","Protein Coding","66","GC08P031010","0.54","/cgi-bin/carddisp.pl?gene=WRN"
"PFKL","Phosphofructokinase, Liver Type","Protein Coding","66","GC21P044300","0.54","/cgi-bin/carddisp.pl?gene=PFKL"
"PDE5A","Phosphodiesterase 5A","Protein Coding","66","GC04M119494","0.54","/cgi-bin/carddisp.pl?gene=PDE5A"
"PCK2","Phosphoenolpyruvate Carboxykinase 2, Mitochondrial","Protein Coding","66","GC14P024094","0.54","/cgi-bin/carddisp.pl?gene=PCK2"
"IGF2R","Insulin Like Growth Factor 2 Receptor","Protein Coding","66","GC06P159969","0.54","/cgi-bin/carddisp.pl?gene=IGF2R"
"USP15","Ubiquitin Specific Peptidase 15","Protein Coding","66","GC12P062260","0.54","/cgi-bin/carddisp.pl?gene=USP15"
"PNMT","Phenylethanolamine N-Methyltransferase","Protein Coding","66","GC17P039667","0.54","/cgi-bin/carddisp.pl?gene=PNMT"
"ACLY","ATP Citrate Lyase","Protein Coding","66","GC17M041866","0.54","/cgi-bin/carddisp.pl?gene=ACLY"
"TWIST1","Twist Family BHLH Transcription Factor 1","Protein Coding","66","GC07M019020","0.54","/cgi-bin/carddisp.pl?gene=TWIST1"
"CRKL","CRK Like Proto-Oncogene, Adaptor Protein","Protein Coding","66","GC22P020917","0.54","/cgi-bin/carddisp.pl?gene=CRKL"
"CRYAB","Crystallin Alpha B","Protein Coding","66","GC11M111908","0.54","/cgi-bin/carddisp.pl?gene=CRYAB"
"CUL3","Cullin 3","Protein Coding","66","GC02M224470","0.54","/cgi-bin/carddisp.pl?gene=CUL3"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","66","GC0XP037780","0.54","/cgi-bin/carddisp.pl?gene=CYBB"
"CYC1","Cytochrome C1","Protein Coding","66","GC08P144095","0.54","/cgi-bin/carddisp.pl?gene=CYC1"
"DCTN1","Dynactin Subunit 1","Protein Coding","66","GC02M074361","0.54","/cgi-bin/carddisp.pl?gene=DCTN1"
"DCC","DCC Netrin 1 Receptor","Protein Coding","66","GC18P052340","0.54","/cgi-bin/carddisp.pl?gene=DCC"
"SFRP1","Secreted Frizzled Related Protein 1","Protein Coding","66","GC08M041238","0.54","/cgi-bin/carddisp.pl?gene=SFRP1"
"ARRB2","Arrestin Beta 2","Protein Coding","66","GC17P004711","0.54","/cgi-bin/carddisp.pl?gene=ARRB2"
"SLC19A1","Solute Carrier Family 19 Member 1","Protein Coding","66","GC21M045493","0.54","/cgi-bin/carddisp.pl?gene=SLC19A1"
"SLC12A2","Solute Carrier Family 12 Member 2","Protein Coding","66","GC05P128083","0.54","/cgi-bin/carddisp.pl?gene=SLC12A2"
"KIF5A","Kinesin Family Member 5A","Protein Coding","66","GC12P057549","0.54","/cgi-bin/carddisp.pl?gene=KIF5A"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","66","GC03M039279","0.54","/cgi-bin/carddisp.pl?gene=CX3CR1"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","66","GC09M034634","0.54","/cgi-bin/carddisp.pl?gene=SIGMAR1"
"SLC25A4","Solute Carrier Family 25 Member 4","Protein Coding","66","GC04P185143","0.54","/cgi-bin/carddisp.pl?gene=SLC25A4"
"SLC18A1","Solute Carrier Family 18 Member A1","Protein Coding","66","GC08M020144","0.54","/cgi-bin/carddisp.pl?gene=SLC18A1"
"MDH1","Malate Dehydrogenase 1","Protein Coding","66","GC02P063557","0.54","/cgi-bin/carddisp.pl?gene=MDH1"
"MCM4","Minichromosome Maintenance Complex Component 4","Protein Coding","66","GC08P047965","0.54","/cgi-bin/carddisp.pl?gene=MCM4"
"DDX5","DEAD-Box Helicase 5","Protein Coding","66","GC17M064498","0.54","/cgi-bin/carddisp.pl?gene=DDX5"
"DKK2","Dickkopf WNT Signaling Pathway Inhibitor 2","Protein Coding","66","GC04M106921","0.54","/cgi-bin/carddisp.pl?gene=DKK2"
"DIAPH1","Diaphanous Related Formin 1","Protein Coding","66","GC05M141477","0.54","/cgi-bin/carddisp.pl?gene=DIAPH1"
"DNAJB1","DnaJ Heat Shock Protein Family (Hsp40) Member B1","Protein Coding","66","GC19M014486","0.54","/cgi-bin/carddisp.pl?gene=DNAJB1"
"DDX3X","DEAD-Box Helicase 3, X-Linked","Protein Coding","66","GC0XP041333","0.54","/cgi-bin/carddisp.pl?gene=DDX3X"
"SLC9A3R1","SLC9A3 Regulator 1","Protein Coding","66","GC17P074749","0.54","/cgi-bin/carddisp.pl?gene=SLC9A3R1"
"CSNK2B","Casein Kinase 2 Beta","Protein Coding","66","GC06P031789","0.54","/cgi-bin/carddisp.pl?gene=CSNK2B"
"TMPO","Thymopoietin","Protein Coding","66","GC12P098515","0.54","/cgi-bin/carddisp.pl?gene=TMPO"
"PYCR1","Pyrroline-5-Carboxylate Reductase 1","Protein Coding","65","GC17M081932","0.54","/cgi-bin/carddisp.pl?gene=PYCR1"
"ALDH1B1","Aldehyde Dehydrogenase 1 Family Member B1","Protein Coding","65","GC09P038392","0.54","/cgi-bin/carddisp.pl?gene=ALDH1B1"
"SOS2","SOS Ras/Rho Guanine Nucleotide Exchange Factor 2","Protein Coding","65","GC14M050117","0.54","/cgi-bin/carddisp.pl?gene=SOS2"
"PYGB","Glycogen Phosphorylase B","Protein Coding","65","GC20P025248","0.54","/cgi-bin/carddisp.pl?gene=PYGB"
"IARS","Isoleucyl-TRNA Synthetase","Protein Coding","65","GC09M092210","0.54","/cgi-bin/carddisp.pl?gene=IARS"
"PPP1CB","Protein Phosphatase 1 Catalytic Subunit Beta","Protein Coding","65","GC02P028716","0.54","/cgi-bin/carddisp.pl?gene=PPP1CB"
"CEBPB","CCAAT/Enhancer Binding Protein Beta","Protein Coding","65","GC20P050190","0.54","/cgi-bin/carddisp.pl?gene=CEBPB"
"CDH11","Cadherin 11","Protein Coding","65","GC16M064882","0.54","/cgi-bin/carddisp.pl?gene=CDH11"
"AMD1","Adenosylmethionine Decarboxylase 1","Protein Coding","65","GC06P110814","0.54","/cgi-bin/carddisp.pl?gene=AMD1"
"SMS","Spermine Synthase","Protein Coding","65","GC0XP021958","0.54","/cgi-bin/carddisp.pl?gene=SMS"
"AGRN","Agrin","Protein Coding","65","GC01P001020","0.54","/cgi-bin/carddisp.pl?gene=AGRN"
"PSMD7","Proteasome 26S Subunit, Non-ATPase 7","Protein Coding","65","GC16P074296","0.54","/cgi-bin/carddisp.pl?gene=PSMD7"
"MYH11","Myosin Heavy Chain 11","Protein Coding","65","GC16M015704","0.54","/cgi-bin/carddisp.pl?gene=MYH11"
"ADCY2","Adenylate Cyclase 2","Protein Coding","65","GC05P007396","0.54","/cgi-bin/carddisp.pl?gene=ADCY2"
"ATP6V1B2","ATPase H+ Transporting V1 Subunit B2","Protein Coding","65","GC08P020197","0.54","/cgi-bin/carddisp.pl?gene=ATP6V1B2"
"M6PR","Mannose-6-Phosphate Receptor, Cation Dependent","Protein Coding","65","GC12M008984","0.54","/cgi-bin/carddisp.pl?gene=M6PR"
"ACADVL","Acyl-CoA Dehydrogenase, Very Long Chain","Protein Coding","65","GC17P007219","0.54","/cgi-bin/carddisp.pl?gene=ACADVL"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","65","GC17M035871","0.54","/cgi-bin/carddisp.pl?gene=CCL5"
"CCNH","Cyclin H","Protein Coding","65","GC05M087377","0.54","/cgi-bin/carddisp.pl?gene=CCNH"
"ACSL1","Acyl-CoA Synthetase Long-Chain Family Member 1","Protein Coding","65","GC04M184755","0.54","/cgi-bin/carddisp.pl?gene=ACSL1"
"IRF8","Interferon Regulatory Factor 8","Protein Coding","65","GC16P085898","0.54","/cgi-bin/carddisp.pl?gene=IRF8"
"ME2","Malic Enzyme 2","Protein Coding","65","GC18P050879","0.54","/cgi-bin/carddisp.pl?gene=ME2"
